input_representation,feature_set,source_column,is_forbidden,max_length,channels,policy,input_branch,tabular_feature_set,tabular_preprocessor_fit_scope,family
S1_sequence_pair+F4,F4,NuPoP_Affinity_147_human_pam_proximal_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NuPoP_Affinity_147_human_missing,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_missingness
S1_sequence_pair+F4,F4,nuCpos_Occup_147_yeast_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,nuCpos_Occup_147_yeast_std,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,nuCpos_Occup_147_yeast_min,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,nuCpos_Occup_147_yeast_max,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,nuCpos_Occup_147_yeast_center,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,nuCpos_Occup_147_yeast_pam_proximal_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,nuCpos_Occup_147_yeast_missing,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_missingness
S1_sequence_pair+F4,F4,nuCpos_Viterbi_147_yeast_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,nuCpos_Viterbi_147_yeast_std,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,nuCpos_Viterbi_147_yeast_min,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,nuCpos_Viterbi_147_yeast_max,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,nuCpos_Viterbi_147_yeast_center,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,nuCpos_Viterbi_147_yeast_pam_proximal_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,nuCpos_Viterbi_147_yeast_missing,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_missingness
S1_sequence_pair+F4,F4,nuCpos_Affinity_147_yeast_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
