run_id,loss,loss_params,sampling,role,test_auprc,test_mcc,test_specificity,split,genome,rows,positive_rate,auprc,auroc,specificity,tnr,mcc,tn,fp,fn,tp
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,tversky,"{""alpha"": 0.7, ""beta"": 0.3, ""epsilon"": 1.0}",null,tversky_specificity_oriented_inverted_salehi2017,0.9558036561873858,0.2629779003203708,0.08284023668639054,val,hg38,333,0.46546546546546547,0.5007763357838744,0.5062341428053643,0.06741573033707865,0.06741573033707865,0.047857597895382166,12,166,7,148
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,tversky,"{""alpha"": 0.7, ""beta"": 0.3, ""epsilon"": 1.0}",null,tversky_specificity_oriented_inverted_salehi2017,0.9558036561873858,0.2629779003203708,0.08284023668639054,val,mm10,22,0.045454545454545456,0.25,0.8571428571428571,0.0,0.0,0.0,0,21,0,1
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,tversky,"{""alpha"": 0.7, ""beta"": 0.3, ""epsilon"": 1.0}",null,tversky_specificity_oriented_inverted_salehi2017,0.9558036561873858,0.2629779003203708,0.08284023668639054,val,rn5,11,0.18181818181818182,0.5,0.8333333333333334,0.1111111111111111,0.1111111111111111,0.14907119849998599,1,8,0,2
sprint6_loss_comparison_seed42_20260606_182812_S6R7_balanced_sampling,bce_unweighted,"{""pos_weight"": 1.0}","{""deterministic_by_seed"": true, ""scope"": ""measured_only"", ""strategy"": ""balanced_subsample"", ""target_ratio"": 1.0}",sampling_axis_measured_only,0.9762049328944724,0.4476016591236499,0.2485207100591716,test,hg19,1446,0.9896265560165975,0.9978529101522082,0.834195201490799,0.4,0.4,0.4856268179672719,6,9,4,1427
sprint6_loss_comparison_seed42_20260606_182812_S6R7_balanced_sampling,bce_unweighted,"{""pos_weight"": 1.0}","{""deterministic_by_seed"": true, ""scope"": ""measured_only"", ""strategy"": ""balanced_subsample"", ""target_ratio"": 1.0}",sampling_axis_measured_only,0.9762049328944724,0.4476016591236499,0.2485207100591716,test,hg38,176,0.5454545454545454,0.6417377602666048,0.5601562499999999,0.0,0.0,0.0,0,80,0,96
sprint6_loss_comparison_seed42_20260606_182812_S6R7_balanced_sampling,bce_unweighted,"{""pos_weight"": 1.0}","{""deterministic_by_seed"": true, ""scope"": ""measured_only"", ""strategy"": ""balanced_subsample"", ""target_ratio"": 1.0}",sampling_axis_measured_only,0.9762049328944724,0.4476016591236499,0.2485207100591716,test,mm10,80,0.075,0.26667779180512624,0.6373873873873873,0.4864864864864865,0.4864864864864865,0.16895139013275484,36,38,1,5
sprint6_loss_comparison_seed42_20260606_182812_S6R7_balanced_sampling,bce_unweighted,"{""pos_weight"": 1.0}","{""deterministic_by_seed"": true, ""scope"": ""measured_only"", ""strategy"": ""balanced_subsample"", ""target_ratio"": 1.0}",sampling_axis_measured_only,0.9762049328944724,0.4476016591236499,0.2485207100591716,val,hg19,1368,0.9890350877192983,0.9907212398280056,0.6628233555062822,0.0,0.0,0.0,0,15,0,1353
sprint6_loss_comparison_seed42_20260606_182812_S6R7_balanced_sampling,bce_unweighted,"{""pos_weight"": 1.0}","{""deterministic_by_seed"": true, ""scope"": ""measured_only"", ""strategy"": ""balanced_subsample"", ""target_ratio"": 1.0}",sampling_axis_measured_only,0.9762049328944724,0.4476016591236499,0.2485207100591716,val,hg38,333,0.46546546546546547,0.5004074389728423,0.5047480971366436,0.028089887640449437,0.028089887640449437,-0.02963926922871065,5,173,6,149
sprint6_loss_comparison_seed42_20260606_182812_S6R7_balanced_sampling,bce_unweighted,"{""pos_weight"": 1.0}","{""deterministic_by_seed"": true, ""scope"": ""measured_only"", ""strategy"": ""balanced_subsample"", ""target_ratio"": 1.0}",sampling_axis_measured_only,0.9762049328944724,0.4476016591236499,0.2485207100591716,val,mm10,22,0.045454545454545456,0.125,0.6666666666666667,0.8095238095238095,0.8095238095238095,-0.10286889997472794,17,4,1,0
sprint6_loss_comparison_seed42_20260606_182812_S6R7_balanced_sampling,bce_unweighted,"{""pos_weight"": 1.0}","{""deterministic_by_seed"": true, ""scope"": ""measured_only"", ""strategy"": ""balanced_subsample"", ""target_ratio"": 1.0}",sampling_axis_measured_only,0.9762049328944724,0.4476016591236499,0.2485207100591716,val,rn5,11,0.18181818181818182,0.5833333333333333,0.8888888888888888,0.5555555555555556,0.5555555555555556,0.43033148291193524,5,4,0,2
