run_id,split,score_decile,rows,positives,negatives,positive_rate,mean_score,min_score,max_score
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,test,3,170,170,0,1.0,0.8363702661850874,0.8336765766143799,0.8402770757675171
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,test,4,170,168,2,0.9882352941176471,0.8315530798014472,0.8298266530036926,0.8336244821548462
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,test,5,171,169,2,0.9883040935672515,0.8281234279710646,0.8264923691749573,0.8298170566558838
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,test,6,170,165,5,0.9705882352941176,0.8245665104950175,0.8223238587379456,0.8264710307121277
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,test,7,170,149,21,0.8764705882352941,0.8190027429777034,0.8153830170631409,0.8222943544387817
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,test,8,170,135,35,0.7941176470588235,0.8120175670174992,0.8081129789352417,0.8153694272041321
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,test,9,170,120,50,0.7058823529411765,0.8041602338061613,0.798473596572876,0.808070719242096
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,test,10,171,132,39,0.7719298245614035,0.782283750193858,0.704998254776001,0.7984445095062256
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,val,1,173,173,0,1.0,0.8583173445194443,0.8457406759262085,0.8962236046791077
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,val,2,173,167,6,0.9653179190751445,0.8391664727574828,0.8343288898468018,0.845738410949707
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,val,3,174,167,7,0.9597701149425287,0.8300646519523928,0.8262385129928589,0.8343241810798645
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,val,4,173,160,13,0.9248554913294798,0.8234631746490567,0.820652961730957,0.8262146711349487
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,val,5,174,154,20,0.8850574712643678,0.8171095519230284,0.8142524361610413,0.8206030130386353
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,val,6,173,160,13,0.9248554913294798,0.8117095197556335,0.8090667724609375,0.8142504692077637
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,val,7,173,148,25,0.8554913294797688,0.8063190658657537,0.8037769198417664,0.8090565204620361
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,val,8,174,149,25,0.8563218390804598,0.8008876631314727,0.7979509234428406,0.8037543892860413
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,val,9,173,138,35,0.7976878612716763,0.7926333091851604,0.7846910357475281,0.7979199886322021
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,val,10,174,95,79,0.5459770114942529,0.7633038279653965,0.7252034544944763,0.7845677733421326
sprint6_loss_comparison_seed42_20260606_182812_S6R5_dice,test,1,170,143,27,0.8411764705882353,3.3970964720457927e-07,2.489261987648206e-07,9.692460025689797e-07
sprint6_loss_comparison_seed42_20260606_182812_S6R5_dice,test,2,170,136,34,0.8,2.2674611005534054e-07,2.0867605599050876e-07,2.488046959570056e-07
sprint6_loss_comparison_seed42_20260606_182812_S6R5_dice,test,3,170,151,19,0.888235294117647,1.9430368563261628e-07,1.8448872651788406e-07,2.084840957650158e-07
sprint6_loss_comparison_seed42_20260606_182812_S6R5_dice,test,4,170,151,19,0.888235294117647,1.7395186442653914e-07,1.6477498832045967e-07,1.8444579552578944e-07
sprint6_loss_comparison_seed42_20260606_182812_S6R5_dice,test,5,171,158,13,0.9239766081871345,1.5744372422043942e-07,1.5047771739773452e-07,1.6473994435273198e-07
sprint6_loss_comparison_seed42_20260606_182812_S6R5_dice,test,6,170,161,9,0.9470588235294117,1.4395450491252524e-07,1.373514066926873e-07,1.504706830246505e-07
sprint6_loss_comparison_seed42_20260606_182812_S6R5_dice,test,7,170,157,13,0.9235294117647059,1.309700695294262e-07,1.245278866690569e-07,1.3724664427172684e-07
sprint6_loss_comparison_seed42_20260606_182812_S6R5_dice,test,8,170,159,11,0.9352941176470588,1.1800076440154579e-07,1.1017409207170203e-07,1.244358998064854e-07
