registry_id,metric,guide,negatives_in_guide,point_estimate,leave_one_guide_value,delta
S7F_R2,auprc,10990,0,0.9820615421641292,0.9818014865239388,-0.00026005564019038196
S7F_R2,auprc,11012,0,0.9820615421641292,0.9819318286026667,-0.0001297135614625189
S7F_R2,auprc,11173,0,0.9820615421641292,0.9668493319401736,-0.01521221022395558
S7F_R2,auprc,11299,0,0.9820615421641292,0.9819141635778825,-0.00014737858624669364
S7F_R2,auprc,11487,0,0.9820615421641292,0.9818420843665099,-0.00021945779761933792
S7F_R2,auprc,11506,8,0.9820615421641292,0.9937229369573272,0.011661394793197943
S7F_R2,auroc,228,7,0.9065567379582131,0.9156567125589812,0.009099974600768057
S7F_R2,auroc,278,0,0.9065567379582131,0.9061123208588646,-0.00044441709934850415
S7F_R2,auroc,635,0,0.9065567379582131,0.9064624666434622,-9.427131475092665e-05
S7F_R2,auroc,804,0,0.9065567379582131,0.9064245107410576,-0.00013222721715555608
S7F_R2,auroc,1018,0,0.9065567379582131,0.9063587215219755,-0.00019801643623762466
S7F_R2,auroc,1026,0,0.9065567379582131,0.906496508064111,-6.022989410214841e-05
S7F_R2,auroc,1028,14,0.9065567379582131,0.8986860945001265,-0.007870643458086635
S7F_R2,auroc,1044,12,0.9065567379582131,0.9000141358034957,-0.0065426021547174695
S7F_R2,auroc,1060,13,0.9065567379582131,0.906546751745968,-9.986212245127746e-06
S7F_R2,auroc,1088,12,0.9065567379582131,0.9019099965076249,-0.004646741450588188
S7F_R2,auroc,1120,14,0.9065567379582131,0.8986397709087848,-0.007916967049428347
S7F_R2,auroc,1408,9,0.9065567379582131,0.9013087084148727,-0.005248029543340471
S7F_R2,auroc,1505,0,0.9065567379582131,0.9134660211583288,0.006909283200115635
S7F_R2,auroc,3265,0,0.9065567379582131,0.9053846943854134,-0.0011720435727997636
S7F_R2,auroc,3300,0,0.9065567379582131,0.9024401479080558,-0.004116590050157298
S7F_R2,auroc,3420,0,0.9065567379582131,0.913203607857676,0.006646869899462837
S7F_R2,auroc,7696,0,0.9065567379582131,0.9026843802963207,-0.0038723576618924227
S7F_R2,auroc,8319,0,0.9065567379582131,0.9035445109252587,-0.003012227032954451
S7F_R2,auroc,8420,0,0.9065567379582131,0.9000131492439185,-0.0065435887142946125
S7F_R2,auroc,9251,80,0.9065567379582131,0.8861704706277904,-0.020386267330422703
S7F_R2,auroc,10597,0,0.9065567379582131,0.9065506166445724,-6.121313640750081e-06
S7F_R2,auroc,10599,0,0.9065567379582131,0.9055305719921104,-0.0010261659661027211
S7F_R2,auroc,10957,0,0.9065567379582131,0.9064361206032485,-0.0001206173549646028
S7F_R2,auroc,10990,0,0.9065567379582131,0.9059511844096724,-0.0006055535485407493
S7F_R2,auroc,11012,0,0.9065567379582131,0.9062838296634008,-0.00027290829481230183
S7F_R2,auroc,11173,0,0.9065567379582131,0.8970721143188445,-0.009484623639368639
S7F_R2,auroc,11299,0,0.9065567379582131,0.9062157391784402,-0.00034099877977289417
S7F_R2,auroc,11487,0,0.9065567379582131,0.9060962317035192,-0.0004605062546939598
S7F_R2,auroc,11506,8,0.9065567379582131,0.9463554030763227,0.03979866511810959
S7F_R2,mcc,228,7,0.603488686060613,0.6194062544528622,0.015917568392249226
S7F_R2,mcc,278,0,0.603488686060613,0.6031211082131376,-0.000367577847475431
S7F_R2,mcc,635,0,0.603488686060613,0.6034104864102702,-7.819965034283616e-05
S7F_R2,mcc,804,0,0.603488686060613,0.6033843515791947,-0.00010433448141833335
S7F_R2,mcc,1018,0,0.603488686060613,0.6033843515791947,-0.00010433448141833335
